epoch,train_loss,train_cla_loss,train_reg_loss,test_loss,test_cla_loss,test_reg_loss,rmse_gt,rmse_hit,learning_rate,precision,recall,f1,test_classification_metrics
20,0.442341143007053,0.20481747544176312,0.23752366797877278,0.33381956150935993,0.14924928543519284,0.18457027660649636,4.037399451359004,4.607269116400463,1.2157665459056937e-05,0.5742753623188406,0.7028824833702882,0.6321036889332003,"{""accuracy"": 0.8984869325997249, ""precision"": 0.5742753623188406, ""recall"": 0.7028824833702882, ""f1"": 0.6321036889332003, ""pka_atom_accuracy"": 0.7028824833702882, ""rmse_gt"": 4.037399451359004, ""rmse_hit"": 4.607269116400463, ""confusion_matrix"": {""tn"": 2949, ""fp"": 235, ""fn"": 134, ""tp"": 317}}"
21,0.42541697413779944,0.1995152547461973,0.22590171972903214,0.33356573287425423,0.14926220949065053,0.18430352305139192,4.101725954704326,4.686386179518712,1.0941898913151244e-05,0.5753176043557169,0.7028824833702882,0.6327345309381238,"{""accuracy"": 0.8987620357634113, ""precision"": 0.5753176043557169, ""recall"": 0.7028824833702882, ""f1"": 0.6327345309381238, ""pka_atom_accuracy"": 0.7028824833702882, ""rmse_gt"": 4.101725954704326, ""rmse_hit"": 4.686386179518712, ""confusion_matrix"": {""tn"": 2950, ""fp"": 234, ""fn"": 134, ""tp"": 317}}"
22,0.4271150388876002,0.20369087516655143,0.223424163973125,0.33353061310307525,0.14609326304409154,0.18743735051117227,4.083938372155422,4.663557833615926,9.84770902183612e-06,0.5742753623188406,0.7028824833702882,0.6321036889332003,"{""accuracy"": 0.8984869325997249, ""precision"": 0.5742753623188406, ""recall"": 0.7028824833702882, ""f1"": 0.6321036889332003, ""pka_atom_accuracy"": 0.7028824833702882, ""rmse_gt"": 4.083938372155422, ""rmse_hit"": 4.663557833615926, ""confusion_matrix"": {""tn"": 2949, ""fp"": 235, ""fn"": 134, ""tp"": 317}}"
23,0.4185678856360218,0.1933127545425581,0.22525513087579244,0.3257021111637743,0.14435140846936562,0.1813507028920609,4.33287762422039,4.987853364210031,8.862938119652508e-06,0.5845588235294118,0.70509977827051,0.6391959798994975,"{""accuracy"": 0.9012379642365888, ""precision"": 0.5845588235294118, ""recall"": 0.70509977827051, ""f1"": 0.6391959798994975, ""pka_atom_accuracy"": 0.70509977827051, ""rmse_gt"": 4.33287762422039, ""rmse_hit"": 4.987853364210031, ""confusion_matrix"": {""tn"": 2958, ""fp"": 226, ""fn"": 133, ""tp"": 318}}"
24,0.41200496588369273,0.19160013181227978,0.22040483357782803,0.3354089169992384,0.14395021534969668,0.19145870188014616,4.108103508288765,4.720103088804874,7.976644307687257e-06,0.5845588235294118,0.70509977827051,0.6391959798994975,"{""accuracy"": 0.9012379642365888, ""precision"": 0.5845588235294118, ""recall"": 0.70509977827051, ""f1"": 0.6391959798994975, ""pka_atom_accuracy"": 0.70509977827051, ""rmse_gt"": 4.108103508288765, ""rmse_hit"": 4.720103088804874, ""confusion_matrix"": {""tn"": 2958, ""fp"": 226, ""fn"": 133, ""tp"": 318}}"
25,0.4230211175750798,0.20135984159622713,0.2216612748579683,0.32677575188285823,0.14379665665259,0.18297909438165538,4.357937921173807,4.997822096474405,7.1789798769185315e-06,0.584870848708487,0.7028824833702882,0.6384692849949647,"{""accuracy"": 0.9012379642365888, ""precision"": 0.584870848708487, ""recall"": 0.7028824833702882, ""f1"": 0.6384692849949647, ""pka_atom_accuracy"": 0.7028824833702882, ""rmse_gt"": 4.357937921173807, ""rmse_hit"": 4.997822096474405, ""confusion_matrix"": {""tn"": 2959, ""fp"": 225, ""fn"": 134, ""tp"": 317}}"
26,0.41482902361015583,0.18841098063064338,0.22641804309342503,0.32456300791644893,0.14270630076096685,0.18185670724812228,4.361175930786051,5.0052011141160975,6.461081889226678e-06,0.584870848708487,0.7028824833702882,0.6384692849949647,"{""accuracy"": 0.9012379642365888, ""precision"": 0.584870848708487, ""recall"": 0.7028824833702882, ""f1"": 0.6384692849949647, ""pka_atom_accuracy"": 0.7028824833702882, ""rmse_gt"": 4.361175930786051, ""rmse_hit"": 5.0052011141160975, ""confusion_matrix"": {""tn"": 2959, ""fp"": 225, ""fn"": 134, ""tp"": 317}}"
27,0.430367584347244,0.20037263954189843,0.22999494482291366,0.32633295363690984,0.1430897931012311,0.1832431605640699,4.3360490114461445,5.002915676677385,5.81497370030401e-06,0.5813528336380256,0.70509977827051,0.6372745490981964,"{""accuracy"": 0.9004126547455296, ""precision"": 0.5813528336380256, ""recall"": 0.70509977827051, ""f1"": 0.6372745490981964, ""pka_atom_accuracy"": 0.70509977827051, ""rmse_gt"": 4.3360490114461445, ""rmse_hit"": 5.002915676677385, ""confusion_matrix"": {""tn"": 2955, ""fp"": 229, ""fn"": 133, ""tp"": 318}}"
28,0.42200529151678895,0.19416569597810904,0.22783959518554509,0.32334014266354044,0.14212067966495376,0.18121946369244452,4.40728942298817,5.089863610979094,5.23347633027361e-06,0.5813528336380256,0.70509977827051,0.6372745490981964,"{""accuracy"": 0.9004126547455296, ""precision"": 0.5813528336380256, ""recall"": 0.70509977827051, ""f1"": 0.6372745490981964, ""pka_atom_accuracy"": 0.70509977827051, ""rmse_gt"": 4.40728942298817, ""rmse_hit"": 5.089863610979094, ""confusion_matrix"": {""tn"": 2955, ""fp"": 229, ""fn"": 133, ""tp"": 318}}"
29,0.4151832291959211,0.1919401590001244,0.22324307025823256,0.3241382889352294,0.14213639848219203,0.1820018910736114,4.411146108604325,5.09557005773219,4.710128697246249e-06,0.5845588235294118,0.70509977827051,0.6391959798994975,"{""accuracy"": 0.9012379642365888, ""precision"": 0.5845588235294118, ""recall"": 0.70509977827051, ""f1"": 0.6391959798994975, ""pka_atom_accuracy"": 0.70509977827051, ""rmse_gt"": 4.411146108604325, ""rmse_hit"": 5.09557005773219, ""confusion_matrix"": {""tn"": 2958, ""fp"": 226, ""fn"": 133, ""tp"": 318}}"
30,0.42071926348840066,0.2002409626676425,0.22047830119075068,0.3255407990290047,0.14170560536996477,0.18383519279769414,4.374848063419224,5.051851541242178,4.239115827521624e-06,0.5834862385321101,0.70509977827051,0.6385542168674698,"{""accuracy"": 0.9009628610729024, ""precision"": 0.5834862385321101, ""recall"": 0.70509977827051, ""f1"": 0.6385542168674698, ""pka_atom_accuracy"": 0.70509977827051, ""rmse_gt"": 4.374848063419224, ""rmse_hit"": 5.051851541242178, ""confusion_matrix"": {""tn"": 2957, ""fp"": 227, ""fn"": 133, ""tp"": 318}}"
31,0.40491768685095464,0.18646069330948914,0.21845699410142677,0.323883758433886,0.141419764246736,0.18246399383618006,4.448896146872747,5.139240298699636,3.815204244769462e-06,0.5813528336380256,0.70509977827051,0.6372745490981964,"{""accuracy"": 0.9004126547455296, ""precision"": 0.5813528336380256, ""recall"": 0.70509977827051, ""f1"": 0.6372745490981964, ""pka_atom_accuracy"": 0.70509977827051, ""rmse_gt"": 4.448896146872747, ""rmse_hit"": 5.139240298699636, ""confusion_matrix"": {""tn"": 2955, ""fp"": 229, ""fn"": 133, ""tp"": 318}}"
32,0.41022954719407717,0.19014271959279977,0.22008682750922348,0.32469355326785304,0.1411890400392907,0.18350451313150962,4.466475114463319,5.160983230891755,3.4336838202925156e-06,0.5834862385321101,0.70509977827051,0.6385542168674698,"{""accuracy"": 0.9009628610729024, ""precision"": 0.5834862385321101, ""recall"": 0.70509977827051, ""f1"": 0.6385542168674698, ""pka_atom_accuracy"": 0.70509977827051, ""rmse_gt"": 4.466475114463319, ""rmse_hit"": 5.160983230891755, ""confusion_matrix"": {""tn"": 2957, ""fp"": 227, ""fn"": 133, ""tp"": 318}}"
33,0.4214120773521014,0.19595324203687378,0.22545883503236372,0.32410160974085106,0.1407247748166851,0.1833768352958087,4.490658282513015,5.190157290153469,3.090315438263264e-06,0.5867158671586716,0.70509977827051,0.6404833836858006,"{""accuracy"": 0.9017881705639614, ""precision"": 0.5867158671586716, ""recall"": 0.70509977827051, ""f1"": 0.6404833836858006, ""pka_atom_accuracy"": 0.70509977827051, ""rmse_gt"": 4.490658282513015, ""rmse_hit"": 5.190157290153469, ""confusion_matrix"": {""tn"": 2960, ""fp"": 224, ""fn"": 133, ""tp"": 318}}"
34,0.4129214237537322,0.1872123206991326,0.2257091026616963,0.32174856066634294,0.1405887527863926,0.18115980794401415,4.589439809352758,5.308836447899106,2.7812838944369375e-06,0.585635359116022,0.70509977827051,0.6398390342052312,"{""accuracy"": 0.9015130674002751, ""precision"": 0.585635359116022, ""recall"": 0.70509977827051, ""f1"": 0.6398390342052312, ""pka_atom_accuracy"": 0.70509977827051, ""rmse_gt"": 4.589439809352758, ""rmse_hit"": 5.308836447899106, ""confusion_matrix"": {""tn"": 2959, ""fp"": 225, ""fn"": 133, ""tp"": 318}}"
35,0.4085881060237192,0.18959546871202362,0.2189926372133785,0.3243070195303924,0.14063505188443823,0.18367196788633905,4.556160690206761,5.269741543362245,2.503155504993244e-06,0.585635359116022,0.70509977827051,0.6398390342052312,"{""accuracy"": 0.9015130674002751, ""precision"": 0.585635359116022, ""recall"": 0.70509977827051, ""f1"": 0.6398390342052312, ""pka_atom_accuracy"": 0.70509977827051, ""rmse_gt"": 4.556160690206761, ""rmse_hit"": 5.269741543362245, ""confusion_matrix"": {""tn"": 2959, ""fp"": 225, ""fn"": 133, ""tp"": 318}}"
36,0.4141276529650365,0.18657996931040993,0.22754768362600442,0.3228144599333294,0.14060760535292827,0.18220685552533264,4.59678725956958,5.318148672894247,2.2528399544939195e-06,0.5878003696857671,0.70509977827051,0.6411290322580645,"{""accuracy"": 0.9020632737276478, ""precision"": 0.5878003696857671, ""recall"": 0.70509977827051, ""f1"": 0.6411290322580645, ""pka_atom_accuracy"": 0.70509977827051, ""rmse_gt"": 4.59678725956958, ""rmse_hit"": 5.318148672894247, ""confusion_matrix"": {""tn"": 2961, ""fp"": 223, ""fn"": 133, ""tp"": 318}}"
37,0.4120686069123057,0.18837629967666222,0.22369230709761687,0.32230414451906153,0.14016549330580033,0.18213865098824097,4.619271106772294,5.344787853801911,2.0275559590445276e-06,0.5878003696857671,0.70509977827051,0.6411290322580645,"{""accuracy"": 0.9020632737276478, ""precision"": 0.5878003696857671, ""recall"": 0.70509977827051, ""f1"": 0.6411290322580645, ""pka_atom_accuracy"": 0.70509977827051, ""rmse_gt"": 4.619271106772294, ""rmse_hit"": 5.344787853801911, ""confusion_matrix"": {""tn"": 2961, ""fp"": 223, ""fn"": 133, ""tp"": 318}}"
38,0.40247154288722237,0.1840876769076273,0.2183838657999977,0.32243062224961927,0.1401492036190996,0.18228141800488531,4.619098506679014,5.345296892390342,1.824800363140075e-06,0.5878003696857671,0.70509977827051,0.6411290322580645,"{""accuracy"": 0.9020632737276478, ""precision"": 0.5878003696857671, ""recall"": 0.70509977827051, ""f1"": 0.6411290322580645, ""pka_atom_accuracy"": 0.70509977827051, ""rmse_gt"": 4.619098506679014, ""rmse_hit"": 5.345296892390342, ""confusion_matrix"": {""tn"": 2961, ""fp"": 223, ""fn"": 133, ""tp"": 318}}"
39,0.40394656514440525,0.1799616952964921,0.22398486856318225,0.3205780953293972,0.1400701263519838,0.18050796871700267,4.6710647339660545,5.40765803528993,1.6423203268260674e-06,0.5899814471243042,0.70509977827051,0.6424242424242425,"{""accuracy"": 0.9026134800550206, ""precision"": 0.5899814471243042, ""recall"": 0.70509977827051, ""f1"": 0.6424242424242425, ""pka_atom_accuracy"": 0.70509977827051, ""rmse_gt"": 4.6710647339660545, ""rmse_hit"": 5.40765803528993, ""confusion_matrix"": {""tn"": 2963, ""fp"": 221, ""fn"": 133, ""tp"": 318}}"
40,0.395255981334655,0.1801820060543601,0.21507397517135973,0.32173320299375857,0.14005103384651965,0.18168216937543047,4.64689423403835,5.378936568031387,1.4780882941434607e-06,0.5899814471243042,0.70509977827051,0.6424242424242425,"{""accuracy"": 0.9026134800550206, ""precision"": 0.5899814471243042, ""recall"": 0.70509977827051, ""f1"": 0.6424242424242425, ""pka_atom_accuracy"": 0.70509977827051, ""rmse_gt"": 4.64689423403835, ""rmse_hit"": 5.378936568031387, ""confusion_matrix"": {""tn"": 2963, ""fp"": 221, ""fn"": 133, ""tp"": 318}}"
